,date,Origin,ArrDelay
38,2000-08-31,ORD,19.28509707979803
39,2000-08-31,STL,4.218394705582895
40,2000-09-30,ATL,1.5512588844717503
41,2000-09-30,DFW,-0.4930313588850174
42,2000-09-30,LAX,1.9698630136986301
43,2000-09-30,ORD,5.236014173735638
44,2000-09-30,STL,0.8700238488350761
45,2000-10-31,ATL,-0.5772375690607735
46,2000-10-31,DFW,3.034203529127387
47,2000-10-31,LAX,8.501345799688341
48,2000-10-31,ORD,2.4893466626274865
49,2000-10-31,STL,4.942706941103092
50,2000-11-30,ATL,7.774443253542932
51,2000-11-30,DFW,5.2963504577822995
52,2000-11-30,LAX,3.113320964749536
53,2000-11-30,ORD,5.995551744466478
54,2000-11-30,STL,2.7013072510110034
55,2000-12-31,ATL,14.186695815115552
56,2000-12-31,DFW,6.671514910008634
57,2000-12-31,LAX,5.454918934781014
58,2000-12-31,ORD,19.11604334148899
59,2000-12-31,STL,14.225388851318714
0,2001-01-31,ATL,2.736939222696344
1,2001-01-31,DFW,2.1078895372880577
2,2001-01-31,LAX,2.102165045497333
3,2001-01-31,ORD,0.24764024933214604
4,2001-01-31,STL,2.886274158911954
5,2001-02-28,ATL,4.097017840864696
6,2001-02-28,DFW,5.161219599245398
7,2001-02-28,LAX,3.221752308451399
8,2001-02-28,ORD,3.5253574786007618
9,2001-02-28,STL,6.551877270892208
10,2001-03-31,ATL,4.692157426027004
11,2001-03-31,DFW,2.8927989867921116
12,2001-03-31,LAX,3.4603910754575082
13,2001-03-31,ORD,-0.2806933704057694
14,2001-03-31,STL,0.5955902124226943
15,2001-04-30,ATL,1.7413232424762017
16,2001-04-30,DFW,-0.5051771634843735
17,2001-04-30,LAX,0.5529977890492912
18,2001-04-30,ORD,4.935272791581926
19,2001-04-30,STL,-0.07371258598252463
20,2001-05-31,ATL,-0.5007506640489664
21,2001-05-31,DFW,-0.09075155052900401
22,2001-05-31,LAX,3.8543067160897153
23,2001-05-31,ORD,2.8940125338753386
24,2001-05-31,STL,-1.1012998266897747
25,2001-06-30,ATL,9.352422907488986
26,2001-06-30,DFW,3.9427641653905052
27,2001-06-30,LAX,2.1683906965080557
28,2001-06-30,ORD,4.14033336227103
29,2001-06-30,STL,2.537897091722595
30,2001-07-31,ATL,4.018942428751288
31,2001-07-31,DFW,0.43603627995126576
32,2001-07-31,LAX,1.0976390314594529
33,2001-07-31,ORD,4.486110532672525
34,2001-07-31,STL,0.3487423521414004
35,2001-08-31,ATL,3.5196434654252298
36,2001-08-31,DFW,3.48236262982111
37,2001-08-31,LAX,1.6580842635938062
38,2001-08-31,ORD,5.787044268157343
39,2001-08-31,STL,-0.36087618403247634
40,2001-09-30,ATL,-3.3746351430239345
41,2001-09-30,DFW,2.166831867178788
42,2001-09-30,LAX,-2.0336861559139785
43,2001-09-30,ORD,-1.061890921525047
44,2001-09-30,STL,-3.644784270890224
45,2001-10-31,ATL,-3.5417795098751568
46,2001-10-31,DFW,-1.5629925569176883
47,2001-10-31,LAX,-3.087521528103961
48,2001-10-31,ORD,-0.4564162869322358
49,2001-10-31,STL,-2.0965067536096877
50,2001-11-30,ATL,-0.6020942408376964
51,2001-11-30,DFW,-0.06607326258130777
52,2001-11-30,LAX,-0.05833703868385949
53,2001-11-30,ORD,-0.6841311918498882
54,2001-11-30,STL,-2.84740054725321
