,date,Origin,DepDelay
1,2003-01-31,DFW,-0.992645080276258
2,2003-01-31,LAX,-0.6063115341983438
3,2003-01-31,ORD,1.3932303223463913
4,2003-01-31,STL,-1.8805803571428572
5,2003-02-28,ATL,4.102513917884481
6,2003-02-28,DFW,1.0215005035246727
7,2003-02-28,LAX,-0.10096739519885346
8,2003-02-28,ORD,1.5366995409716857
9,2003-02-28,STL,0.17331670822942644
10,2003-03-31,ATL,3.469219675117656
11,2003-03-31,DFW,-1.1428947368421052
12,2003-03-31,LAX,-0.8562561254491996
13,2003-03-31,ORD,0.6184791174152876
14,2003-03-31,STL,-2.0148072504467707
15,2003-04-30,ATL,1.3689379737549923
16,2003-04-30,DFW,-0.4832444262070852
17,2003-04-30,LAX,-0.9865097391424048
18,2003-04-30,ORD,-0.6522998153432936
19,2003-04-30,STL,-2.4033006001091106
20,2003-05-31,ATL,2.7721211170379667
21,2003-05-31,DFW,-0.32568490190994726
22,2003-05-31,LAX,-0.6005540531627201
23,2003-05-31,ORD,-0.36681715575620766
24,2003-05-31,STL,-1.9440944881889763
25,2003-06-30,ATL,3.6139523336643498
26,2003-06-30,DFW,2.688688776630793
27,2003-06-30,LAX,0.4872326203208556
28,2003-06-30,ORD,-0.18847281284835474
29,2003-06-30,STL,-1.1602970965563808
30,2003-07-31,ATL,5.892144892144892
31,2003-07-31,DFW,3.202788897197906
32,2003-07-31,LAX,0.41823959326342547
33,2003-07-31,ORD,3.8226573426573425
34,2003-07-31,STL,-0.3742179353493222
35,2003-08-31,ATL,4.982396455555995
36,2003-08-31,DFW,2.89034068487745
37,2003-08-31,LAX,0.4380264741275572
38,2003-08-31,ORD,1.9355959595959595
39,2003-08-31,STL,-0.5678058041768376
40,2003-09-30,ATL,0.520544063474072
41,2003-09-30,DFW,-1.4432003626473255
42,2003-09-30,LAX,-1.4910708313825163
43,2003-09-30,ORD,-0.7195308938709544
44,2003-09-30,STL,-2.047513198110586
45,2003-10-31,ATL,0.9719271623672231
46,2003-10-31,DFW,-1.1905867917086639
47,2003-10-31,LAX,-0.37327962403491105
48,2003-10-31,ORD,-0.8799766264121542
49,2003-10-31,STL,-2.166688874083944
50,2003-11-30,ATL,1.1923441199684293
51,2003-11-30,DFW,0.3366687057589793
52,2003-11-30,LAX,0.4776338629990653
53,2003-11-30,ORD,8.551288992545084
54,2003-11-30,STL,-0.5816353532680604
55,2003-12-31,ATL,4.6603146991381355
56,2003-12-31,DFW,2.2889087276282787
57,2003-12-31,LAX,1.9136746098015287
58,2003-12-31,ORD,8.256028341777457
59,2003-12-31,STL,0.26497515040544073
0,2004-01-31,ATL,2.8825277758120444
1,2004-01-31,DFW,2.4831427610559946
2,2004-01-31,LAX,0.8338718014990953
3,2004-01-31,ORD,13.047227349329908
4,2004-01-31,STL,0.7821603506058262
5,2004-02-29,ATL,7.994818255095383
6,2004-02-29,DFW,2.3981974600573537
7,2004-02-29,LAX,0.7768731889057541
8,2004-02-29,ORD,6.187303296339241
9,2004-02-29,STL,-0.4223189147683645
10,2004-03-31,ATL,2.0428354680498217
11,2004-03-31,DFW,0.058353521186620766
12,2004-03-31,LAX,0.3160631618999302
13,2004-03-31,ORD,8.642907682568056
14,2004-03-31,STL,-0.20719867392848687
15,2004-04-30,ATL,2.025850048267725
16,2004-04-30,DFW,-0.533835904628331
17,2004-04-30,LAX,0.331130456885048
18,2004-04-30,ORD,2.6137364135727923
19,2004-04-30,STL,-0.9085048351103397
20,2004-05-31,ATL,5.117422268542644
21,2004-05-31,DFW,-0.07941448641372928
22,2004-05-31,LAX,0.19735849056603774
